Station Name,Available Docks,Percent Full,Docks in Service,Latitude,Longitude,Timestamp
Halsted St & 78th St,9,40,15,42.01256,-87.674367,5/7/2022 23:35
Halsted St & 96th St,9,40,15,42.010587,-87.662412,5/7/2022 23:35
Halsted St & Archer Ave,9,36,14,41.773643,-87.567514,5/7/2022 23:35
Halsted St & Clybourn Ave,3,73,11,41.766493,-87.586461,5/7/2022 23:35
Halsted St & Dickens Ave,7,68,22,41.903486,-87.643353,5/7/2022 23:35
Halsted St & Maxwell St,15,17,18,41.900219,-87.642985,5/7/2022 23:35
Halsted St & North Branch St,13,13,15,41.89939,-87.648545,5/7/2022 23:35
Halsted St & Polk St,3,67,9,41.841633,-87.657435,5/7/2022 23:35
Halsted St & Roosevelt Rd,11,27,15,41.830689,-87.656211,5/7/2022 23:35
Halsted St & Roscoe St,10,33,15,41.839209,-87.66561,5/7/2022 23:35
Halsted St & Willow St,3,73,11,41.830105,-87.670298,5/7/2022 23:35
Halsted St & Wrightwood Ave,10,33,15,41.854184,-87.619154,5/7/2022 23:35
Hamlin Ave & 62nd Pl,8,20,10,41.895465,-87.706128,5/7/2022 23:35
Hampden Ct & Diversey Ave,14,36,22,41.898418,-87.686596,5/7/2022 23:35
Harding Ave & 26th St,8,27,11,41.890469,-87.702608,5/7/2022 23:35
Harlem & Irving Park,14,60,35,41.889492,-87.688219,5/7/2022 23:35
Harlem Ave & Grace St,10,33,15,41.884603,-87.706304,5/7/2022 23:35
Harper Ave & 59th St,9,18,11,41.884454,-87.696298,5/7/2022 23:35
Hegewisch Metra Station,8,47,15,41.879788,-87.686113,5/7/2022 23:35
Hermitage Ave & Polk St,14,26,19,41.874749,-87.686445,5/7/2022 23:35
Homan Ave & 65th St,27,13,31,41.87295,-87.66913,5/7/2022 23:35
Homan Ave & Fillmore St,7,36,11,41.801832,-87.645214,5/7/2022 23:35
Homewood Ave & 115th St,7,30,10,41.794982,-87.633124,5/7/2022 23:35
Honore St & Division St,5,50,10,41.79293,-87.64499,5/7/2022 23:35
Houston Ave & 92nd St,5,55,11,41.779381,-87.644621,5/7/2022 23:35
Hoyne Ave & 34th St,8,27,11,41.78008,-87.629746,5/7/2022 23:35
Hoyne Ave & 47th St,6,45,11,41.769062,-87.644614,5/7/2022 23:35
Hoyne Ave & Balmoral Ave,7,36,11,41.769293,-87.628196,5/7/2022 23:35
Humboldt Blvd & Armitage Ave,8,27,11,41.765508,-87.616918,5/7/2022 23:35
Indiana Ave & 103rd St,6,60,15,41.870816,-87.631246,5/7/2022 23:35
Indiana Ave & 133rd St,5,55,11,41.75712,-87.575839,5/7/2022 23:35
Indiana Ave & 26th St,6,40,10,41.758768,-87.56644,5/7/2022 23:35
Indiana Ave & 31st St,9,40,15,41.757871,-87.549386,5/7/2022 23:35
Indiana Ave & 40th St,6,45,11,41.762189,-87.559275,5/7/2022 23:35
Indiana Ave & Roosevelt Rd,5,55,11,41.765719,-87.60496,5/7/2022 23:35
Jefferson St & Monroe St,5,50,10,41.842733,-87.635491,5/7/2022 23:35
Jeffery Blvd & 67th St,1,93,14,41.838464,-87.635406,5/7/2022 23:35
Jeffery Blvd & 71st St,11,27,15,41.83453,-87.631823,5/7/2022 23:35
Jeffery Blvd & 76th St,12,20,15,41.830777,-87.632504,5/7/2022 23:35
Karlov Ave & Madison St,10,47,19,41.831274,-87.608799,5/7/2022 23:35
Kedzie Ave & 104th St,9,18,11,41.823015,-87.626568,5/7/2022 23:35
Kedzie Ave & 110th St,4,64,11,41.819102,-87.643278,5/7/2022 23:35
Kedzie Ave & 21st St,9,18,11,41.816208,-87.634819,5/7/2022 23:35
Kedzie Ave & 24th St,12,20,15,41.816659,-87.619412,5/7/2022 23:35
Kedzie Ave & 45th St,5,55,11,41.808134,-87.645617,5/7/2022 23:35
Kedzie Ave & 48th Pl,6,45,11,41.809318,-87.633449,5/7/2022 23:35
Kedzie Ave & 52nd St,9,40,15,41.814093,-87.597005,5/7/2022 23:35
Kedzie Ave & 57th St,6,60,15,41.870257,-87.639474,5/7/2022 23:35
Kedzie Ave & Bryn Mawr Ave,8,27,11,41.802295,-87.618054,5/7/2022 23:35
Kedzie Ave & Chicago Ave,7,53,15,41.805772,-87.592464,5/7/2022 23:35
Kedzie Ave & Foster Ave,2,89,19,41.802406,-87.586924,5/7/2022 23:35
Kedzie Ave & George St,4,60,10,41.799336,-87.600958,5/7/2022 23:35
Kedzie Ave & Harrison St,6,60,15,41.799494,-87.58645,5/7/2022 23:35
Kedzie Ave & Lake St,15,21,19,41.794301,-87.60145,5/7/2022 23:35
Kedzie Ave & Leland Ave,7,36,11,41.793429,-87.615853,5/7/2022 23:35
Kedzie Ave & Milwaukee Ave,7,30,10,41.791568,-87.607852,5/7/2022 23:35
Kedzie Ave & Palmer Ct,19,32,28,41.791478,-87.599861,5/7/2022 23:35
Kedzie Ave & Roosevelt Rd,20,23,26,41.791728,-87.583945,5/7/2022 23:35
Keeler Ave & Roosevelt Rd,10,33,15,41.787943,-87.588315,5/7/2022 23:35
Kenneth Ave & 50th St,8,56,18,41.785097,-87.601073,5/7/2022 23:35
Kenosha & Wellington,9,36,14,41.780601,-87.605836,5/7/2022 23:35
Kenton Ave & Madison St,11,0,11,41.780406,-87.591416,5/7/2022 23:35
Keystone Ave & Fullerton Ave,1,91,11,41.773721,-87.605635,5/7/2022 23:35
Keystone Ave & Montrose Ave,7,36,11,41.780081,-87.615943,5/7/2022 23:35
Kilbourn & Belden,6,45,11,41.784142,-87.613308,5/7/2022 23:35
Kilbourn & Roscoe,7,63,19,42.009011,-87.674112,5/7/2022 23:35
Kilbourn Ave & Irving Park Rd,8,27,11,41.8736,-87.704871,5/7/2022 23:35
Kilbourn Ave & Milwaukee Ave,16,16,19,41.866501,-87.684697,5/7/2022 23:35
Kildare & Cermak,8,27,11,41.866493,-87.706496,5/7/2022 23:35
Kildare Ave & 26th St,9,18,11,41.866624,-87.694521,5/7/2022 23:35
Kildare Ave & 47th St,8,47,15,41.86193,-87.69345,5/7/2022 23:35
Kildare Ave & 55th St,12,20,15,41.854064,-87.715117,5/7/2022 23:35
Kildare Ave & Chicago Ave,7,36,11,41.853534,-87.705073,5/7/2022 23:35
Kildare Ave & Division St,10,9,11,41.8481,-87.715068,5/7/2022 23:35
Kildare Ave & Montrose Ave,4,60,10,41.848191,-87.705414,5/7/2022 23:35
Kilpatrick Ave & Grand Ave,0,100,7,41.84911,-87.69514,5/7/2022 23:35
Kilpatrick Ave & Parker Ave,7,0,7,41.844531,-87.715922,5/7/2022 23:35
Kimball Ave & Belmont Ave,7,36,11,41.844475,-87.702013,5/7/2022 23:35
Kimbark Ave & 53rd St,6,45,11,41.84368,-87.694969,5/7/2022 23:35
Kingsbury St & Erie St,8,27,11,41.841518,-87.685131,5/7/2022 23:35
Kingsbury St & Kinzie St,8,47,15,42.007972,-87.665502,5/7/2022 23:35
Knox Ave & Montrose Ave,2,80,10,42.00455,-87.680666,5/7/2022 23:35
Komensky Ave & 31st St,11,27,15,42.004451,-87.672402,5/7/2022 23:35
Komensky Ave & 55th St,6,45,11,42.001785,-87.688829,5/7/2022 23:35
Kosciuszko Park,9,61,23,42.001044,-87.661198,5/7/2022 23:35
Kostner Ave & 63rd St,4,64,11,41.994161,-87.689438,5/7/2022 23:35
Kostner Ave & Adams St,8,43,14,41.999252,-87.671377,5/7/2022 23:35
Kostner Ave & Lake St,7,67,21,41.99478,-87.660285,5/7/2022 23:35
Kostner Ave & Wrightwood Ave,7,36,11,41.990236,-87.69337,5/7/2022 23:35
La Villita Park (Albany/30th),5,55,11,41.991178,-87.683593,5/7/2022 23:35
LaSalle Dr & Huron St,11,21,14,41.99086,-87.669724,5/7/2022 23:35
LaSalle St & Adams St,16,11,18,41.989743,-87.660141,5/7/2022 23:35
LaSalle St & Illinois St,7,50,14,41.983593,-87.669154,5/7/2022 23:35
LaSalle St & Jackson Blvd,9,36,14,41.984045,-87.660274,5/7/2022 23:35
LaSalle St & Washington St,2,87,15,41.979762,-87.67753,5/7/2022 23:35
Laflin St & Cullerton St,0,100,19,41.978031,-87.668565,5/7/2022 23:35
Lake Park Ave & 35th St,11,27,15,41.975615,-87.679459,5/7/2022 23:35
Lake Park Ave & 47th St,14,36,22,41.9716,-87.650154,5/7/2022 23:35
Lake Park Ave & 53rd St,5,55,11,42.012132,-87.682913,5/7/2022 23:35
Lake Park Ave & 56th St,8,47,15,42.008594,-87.690492,5/7/2022 23:35
Lakefront Trail & Bryn Mawr Ave,5,55,11,41.983665,-87.696423,5/7/2022 23:35
Lakefront Trail & Wilson Ave,11,27,15,41.980394,-87.716115,5/7/2022 23:35
Lakeview Ave & Fullerton Pkwy,2,80,10,41.975672,-87.709261,5/7/2022 23:35
Lamon Ave & Armitage Ave,8,47,15,41.975633,-87.701419,5/7/2022 23:35
Lamon Ave & Belmont Ave,6,60,15,41.974911,-87.692503,5/7/2022 23:35
Lamon Ave & Chicago Ave,9,40,15,41.968354,-87.711831,5/7/2022 23:35
Laramie Ave & Gladys Ave,9,36,14,41.968987,-87.696027,5/7/2022 23:35
Laramie Ave & Kinzie St,9,40,15,41.966686,-87.708052,5/7/2022 23:35
Laramie Ave & Madison St,5,55,11,41.965875,-87.700825,5/7/2022 23:35
Larrabee St & Armitage Ave,9,36,14,41.9659,-87.693638,5/7/2022 23:35
Larrabee St & Division St,11,27,15,41.961154,-87.716569,5/7/2022 23:35
Larrabee St & Kingsbury St,3,73,11,41.961041,-87.705866,5/7/2022 23:35
Larrabee St & Menomonee St,10,29,14,41.961068,-87.695439,5/7/2022 23:35
Larrabee St & North Ave,12,14,14,41.961526,-87.691165,5/7/2022 23:35
Larrabee St & Oak St,12,37,19,41.953393,-87.732002,5/7/2022 23:35
Larrabee St & Webster Ave,7,53,15,41.954005,-87.719128,5/7/2022 23:35
Latrobe Ave & Chicago Ave,7,53,15,41.953586,-87.709311,5/7/2022 23:35
Lavergne & Fullerton,11,27,15,41.954341,-87.68608,5/7/2022 23:35
Lavergne Ave & 46th St,5,72,18,41.952162,-87.698051,5/7/2022 23:35
Lavergne Ave & Division St,6,45,11,41.946264,-87.731023,5/7/2022 23:35
Lawler Ave & 50th St,13,13,15,41.947326,-87.717582,5/7/2022 23:35
Lawndale Ave & 111th St,9,40,15,41.945244,-87.70665,5/7/2022 23:35
Lawndale Ave & 16th St,15,0,15,41.946636,-87.694615,5/7/2022 23:35
Lawndale Ave & 30th St,6,57,14,41.946655,-87.683359,5/7/2022 23:35
Leamington Ave & Hirsch St,10,9,11,41.943034,-87.687288,5/7/2022 23:35
Leavitt St & Addison St,14,7,15,41.98223,-87.708887,5/7/2022 23:35
Leavitt St & Archer Ave,5,50,10,41.961108,-87.72897,5/7/2022 23:35
Leavitt St & Armitage Ave,4,64,11,41.939408,-87.723574,5/7/2022 23:35
Leavitt St & Belmont Ave,6,60,15,41.939398,-87.711561,5/7/2022 23:35
Leavitt St & Chicago Ave,11,39,18,41.938429,-87.698008,5/7/2022 23:35
Leavitt St & Division St,13,13,15,41.930585,-87.723777,5/7/2022 23:35
Leavitt St & Lawrence Ave,11,21,14,41.935337,-87.716889,5/7/2022 23:35
Leavitt St & North Ave,0,100,15,41.931902,-87.701195,5/7/2022 23:35
Lincoln Ave & Addison St,13,13,15,41.92669,-87.697668,5/7/2022 23:35
Lincoln Ave & Balmoral Ave,15,0,15,41.924816,-87.714495,5/7/2022 23:35
Lincoln Ave & Belle Plaine Ave,5,67,15,41.924632,-87.689307,5/7/2022 23:35
Lincoln Ave & Belmont Ave,1,93,15,41.924091,-87.67646,5/7/2022 23:35
Lincoln Ave & Diversey Pkwy,11,15,13,41.917108,-87.710221,5/7/2022 23:35
Lincoln Ave & Fullerton Ave,13,28,18,41.917513,-87.701809,5/7/2022 23:35
Lincoln Ave & Peterson Ave,9,40,15,41.909657,-87.716632,5/7/2022 23:35
Lincoln Ave & Roscoe St,6,57,14,41.909769,-87.70528,5/7/2022 23:35
Lincoln Ave & Roscoe St*,5,55,11,41.902707,-87.70922,5/7/2022 23:35
Lincoln Ave & Sunnyside Ave,6,45,11,41.914027,-87.705126,5/7/2022 23:35
Lincoln Ave & Waveland Ave,9,18,11,42.019276,-87.68452,5/7/2022 23:35
Lincoln Ave & Winona St,11,39,18,42.019159,-87.673573,5/7/2022 23:35
Lincoln Park Conservatory,5,50,10,42.015963,-87.675005,5/7/2022 23:35
Lincolnwood Dr & Central St,9,18,11,41.885502,-87.716866,5/7/2022 23:35
Lockwood Ave & Wrightwood Ave,8,27,11,42.016977,-87.677725,5/7/2022 23:35
Logan Blvd & Elston Ave,7,59,17,42.015962,-87.66857,5/7/2022 23:35
Long & Irving Park,0,100,9,42.019537,-87.669563,5/7/2022 23:35
Long Ave & Belden Ave,13,13,15,42.020887,-87.665058,5/7/2022 23:35
Long Ave & Belmont Ave,5,29,7,41.894887,-87.774704,5/7/2022 23:35
Long Ave & North Ave,6,57,14,42.012701,-87.666058,5/7/2022 23:35
Loomis Blvd & 84th St,8,20,10,42.012342,-87.688243,5/7/2022 23:35
Loomis St & 89th St,9,40,15,42.018901,-87.690048,5/7/2022 23:35
Loomis St & Archer Ave,9,18,11,41.885409,-87.726491,5/7/2022 23:35
Loomis St & Jackson Blvd,8,27,11,41.886841,-87.745261,5/7/2022 23:35
Loomis St & Lexington St,7,36,11,41.887832,-87.755527,5/7/2022 23:35
MLK Jr Dr & 29th St,8,27,11,41.887664,-87.765469,5/7/2022 23:35
MLK Jr Dr & 47th St,2,82,11,41.887944,-87.774273,5/7/2022 23:35
MLK Jr Dr & 56th St,6,45,11,41.875679,-87.71547,5/7/2022 23:35
MLK Jr Dr & 63rd St,8,27,11,41.88085,-87.727907,5/7/2022 23:35
MLK Jr Dr & 83rd St,10,9,11,41.87441,-87.726092,5/7/2022 23:35
MLK Jr Dr & Pershing Rd,8,27,11,41.885928,-87.73541,5/7/2022 23:35
Major Ave & Bloomingdale Ave,9,18,11,41.880708,-87.741018,5/7/2022 23:35
Major Taylor Trail & 115th St,6,45,11,41.872131,-87.746619,5/7/2022 23:35
Major Taylor Trail & 124th St,9,18,11,41.877613,-87.745405,5/7/2022 23:35
Malcolm X College Vaccination Site,6,40,10,41.880207,-87.755337,5/7/2022 23:35
Manor Ave & Leland Ave,4,60,10,41.872993,-87.764499,5/7/2022 23:35
Maplewood Ave & 59th St,8,27,11,41.880121,-87.763238,5/7/2022 23:35
Maplewood Ave & Peterson Ave,5,55,11,41.875806,-87.755285,5/7/2022 23:35
Marine Dr & Ainslie St,4,64,11,41.880281,-87.774453,5/7/2022 23:35
Marquette Ave & 89th St,5,55,11,41.877917,-87.735737,5/7/2022 23:35
Marshfield Ave & 44th St,7,36,11,41.823192,-87.676597,5/7/2022 23:35
Marshfield Ave & 59th St,7,36,11,41.823465,-87.665577,5/7/2022 23:35
Martin Luther King Dr & 111th St,1,86,7,41.823613,-87.650931,5/7/2022 23:35
Maryland Ave & 104th St,4,64,11,41.813996,-87.666589,5/7/2022 23:35
Mason Ave & Belmont Ave,8,27,11,41.894958,-87.764902,5/7/2022 23:35
May St & 69th St,9,18,11,41.808227,-87.67718,5/7/2022 23:35
May St & Cullerton St,7,36,11,41.80887,-87.66454,5/7/2022 23:35
May St & Taylor St,8,27,11,41.80839,-87.656526,5/7/2022 23:35
Mayfield & Roosevelt Rd,2,71,7,41.800908,-87.674684,5/7/2022 23:35
McClurg Ct & Erie St,5,55,11,41.803023,-87.664699,5/7/2022 23:35
McClurg Ct & Ohio St,4,43,7,41.799659,-87.657195,5/7/2022 23:35
McCormick Place,4,64,11,41.794087,-87.675478,5/7/2022 23:35
Meade Ave & Addison St,8,27,11,41.792822,-87.664429,5/7/2022 23:35
Meade Ave & Diversey Ave,5,55,11,41.794228,-87.655073,5/7/2022 23:35
Menard Ave & Division St,7,36,11,41.786833,-87.666215,5/7/2022 23:35
Menard Ave & North Ave,6,45,11,41.785861,-87.674144,5/7/2022 23:35
Michigan Ave & 114th St,6,45,11,41.783189,-87.654372,5/7/2022 23:35
Michigan Ave & 14th St,8,27,11,41.779374,-87.664843,5/7/2022 23:35
Michigan Ave & 18th St,7,36,11,41.775393,-87.654308,5/7/2022 23:35
Michigan Ave & 71st St,3,57,7,41.774074,-87.663815,5/7/2022 23:35
Michigan Ave & 8th St,6,45,11,41.759274,-87.673634,5/7/2022 23:35
Michigan Ave & Ida B Wells Dr,6,45,11,41.768938,-87.652934,5/7/2022 23:35
Michigan Ave & Jackson Blvd,2,71,7,41.75797,-87.63121,5/7/2022 23:35
Michigan Ave & Lake St,9,18,11,41.75916,-87.595751,5/7/2022 23:35
Michigan Ave & Madison St,4,33,6,41.75849,-87.60641,5/7/2022 23:35
Michigan Ave & Oak St,5,50,10,41.758361,-87.614138,5/7/2022 23:35
Michigan Ave & Pearson St,6,40,10,41.756971,-87.624621,5/7/2022 23:35
Michigan Ave & Washington St,9,18,11,41.750794,-87.624424,5/7/2022 23:35
Mies van der Rohe Way & Chestnut St,10,9,11,41.75094,-87.61379,5/7/2022 23:35
Mies van der Rohe Way & Chicago Ave,4,64,11,41.753174,-87.605026,5/7/2022 23:35
Millard Ave & 26th St,7,36,11,41.751294,-87.597552,5/7/2022 23:35
Millennium Park,5,55,11,41.751173,-87.585337,5/7/2022 23:35
Milwaukee Ave & Cuyler Ave,9,18,11,41.751785,-87.578496,5/7/2022 23:35
Milwaukee Ave & Fullerton Ave,6,40,10,41.75182,-87.565211,5/7/2022 23:35
Milwaukee Ave & Grand Ave,5,55,11,41.751731,-87.552812,5/7/2022 23:35
Milwaukee Ave & Rockwell St,7,36,11,41.744615,-87.551208,5/7/2022 23:35
Milwaukee Ave & Wabansia Ave,9,18,11,41.744531,-87.56506,5/7/2022 23:35
Monticello Ave & Chicago Ave,5,55,11,41.746559,-87.586005,5/7/2022 23:35
Monticello Ave & Irving Park Rd,5,55,11,41.744123,-87.599034,5/7/2022 23:35
Montrose Harbor,3,70,10,41.743441,-87.604836,5/7/2022 23:35
Morgan Ave & 14th Pl,7,36,11,41.743116,-87.6148,5/7/2022 23:35
Morgan St & 18th St,7,36,11,41.743316,-87.622849,5/7/2022 23:35
Morgan St & 31st St,8,27,11,41.743921,-87.575225,5/7/2022 23:35
Morgan St & Lake St,4,64,11,41.954468,-87.749594,5/7/2022 23:35
Morgan St & Lake St*,10,9,11,41.953733,-87.740569,5/7/2022 23:35
Morgan St & Pershing Rd,6,60,15,41.947071,-87.740008,5/7/2022 23:35
Morgan St & Polk St,5,55,11,41.960631,-87.745359,5/7/2022 23:35
Mozart St & Jackson Blvd,6,45,11,41.787539,-87.644874,5/7/2022 23:35
Mulligan Ave & Wellington Ave,6,45,11,41.805661,-87.683392,5/7/2022 23:35
Museum of Science and Industry,6,45,11,41.736646,-87.622634,5/7/2022 23:35
N Carpenter St & W Lake St,6,60,15,42.048214,-87.683485,5/7/2022 23:35
N Clark St & W Elm St,1,93,15,42.032562,-87.679101,5/7/2022 23:35
N Damen Ave & W Chicago Ave,10,29,14,42.025784,-87.684107,5/7/2022 23:35
N Green St & W Lake St,9,40,15,42.039742,-87.699413,5/7/2022 23:35
N Paulina St & Lincoln Ave,5,67,15,42.048308,-87.698224,5/7/2022 23:35
N Sheffield Ave & W Wellington Ave,7,50,14,42.063598,-87.69873,5/7/2022 23:35
N Shore Channel Trail & Argyle St,11,21,14,42.064313,-87.686152,5/7/2022 23:35
N Southport Ave & W Newport Ave,14,0,14,42.050491,-87.677821,5/7/2022 23:35
Narragansett & Irving Park,8,43,14,42.058239,-87.677432,5/7/2022 23:35
Narragansett & McLean,11,21,14,42.052939,-87.673447,5/7/2022 23:35
Narragansett & Wrightwood,8,27,11,41.92459,-87.72785,5/7/2022 23:35
Narragansett Ave & School St,15,0,15,41.898203,-87.637536,5/7/2022 23:35
New St & Illinois St,14,7,15,41.884114,-87.654264,5/7/2022 23:35
Noble St & Milwaukee Ave,12,20,15,41.900363,-87.696704,5/7/2022 23:35
Nordica & Medill,37,14,43,41.872773,-87.623981,5/7/2022 23:35
Normal Ave & Archer Ave,14,7,15,41.876268,-87.629155,5/7/2022 23:35
North Ave & New England Ave,12,20,15,42.034632,-87.699188,5/7/2022 23:35
Oak Park & Wellington,6,65,17,41.867491,-87.63219,5/7/2022 23:35
Oakley Ave & Irving Park Rd,3,83,18,41.894877,-87.632326,5/7/2022 23:35
Oakley Ave & Touhy Ave,14,39,23,41.91461,-87.667968,5/7/2022 23:35
Ogden Ave & Chicago Ave,12,14,14,41.96108,-87.73569,5/7/2022 23:35
Ogden Ave & Congress Pkwy,18,5,19,41.877618,-87.673895,5/7/2022 23:35
Ogden Ave & Race Ave,12,14,14,41.94454,-87.654678,5/7/2022 23:35
Ogden Ave & Roosevelt Rd,9,18,11,41.895748,-87.620104,5/7/2022 23:35
Oglesby Ave & 100th St,11,0,11,41.890028,-87.636618,5/7/2022 23:35
Oketo Ave & Addison St,12,14,14,41.895634,-87.672069,5/7/2022 23:35
Olive Harvey College,15,52,31,41.878317,-87.640981,5/7/2022 23:35
Orange & Addison,14,7,15,41.965845,-87.645361,5/7/2022 23:35
Orleans St & Chestnut St (NEXT Apts),5,50,10,41.949923,-87.713949,5/7/2022 23:35
Orleans St & Elm St,7,30,10,41.914166,-87.716755,5/7/2022 23:35
Orleans St & Hubbard St,4,43,7,41.894745,-87.756895,5/7/2022 23:35
Orleans St & Merchandise Mart Plaza,5,67,15,41.892048,-87.689397,5/7/2022 23:35
Panama Ave & Grace St,2,82,11,41.868563,-87.686234,5/7/2022 23:35
Parkside Ave & Armitage Ave,4,64,11,41.826712,-87.683144,5/7/2022 23:35
Paulina Ave & North Ave,8,27,11,41.796642,-87.625923,5/7/2022 23:35
Paulina St & 18th St,4,43,7,41.789697,-87.654698,5/7/2022 23:35
Paulina St & Flournoy St,4,43,7,41.77987,-87.650919,5/7/2022 23:35
Paulina St & Howard St,6,45,11,41.779835,-87.634774,5/7/2022 23:35
Paulina St & Montrose Ave,3,62,8,41.768898,-87.635876,5/7/2022 23:35
Peoria St & Jackson Blvd,8,27,11,41.766,-87.611726,5/7/2022 23:35
Perry Ave & 69th St,10,0,10,41.780595,-87.584846,5/7/2022 23:35
Phillips Ave & 79th St,9,18,11,41.883073,-87.656952,5/7/2022 23:35
Phillips Ave & 83rd St,14,0,14,41.979851,-87.681932,5/7/2022 23:35
Pine Grove Ave & Irving Park Rd,5,67,15,41.885951,-87.677009,5/7/2022 23:35
Pine Grove Ave & Waveland Ave,13,13,15,41.899181,-87.6722,5/7/2022 23:35
Ping Tom Park (East),12,20,15,41.902997,-87.683825,5/7/2022 23:35
Plainfield & Irving Park,5,67,15,41.895501,-87.682017,5/7/2022 23:35
Prairie Ave & 43rd St,8,33,12,42.004583,-87.661406,5/7/2022 23:35
Prairie Ave & Garfield Blvd,8,47,15,42.057044,-87.686554,5/7/2022 23:35
Princeton Ave & 47th St,11,27,15,42.023463,-87.699595,5/7/2022 23:35
Princeton Ave & Garfield Blvd,8,43,14,42.064854,-87.715297,5/7/2022 23:35
Prospect Sq & 91st St,3,79,14,41.939354,-87.683282,5/7/2022 23:35
Pulaski & Ann Lurie Pl,5,17,6,41.747363,-87.580046,5/7/2022 23:35
Pulaski Rd & 21st St,8,43,14,41.907221,-87.655618,5/7/2022 23:35
Pulaski Rd & 51st St,8,27,11,41.891023,-87.63548,5/7/2022 23:35
Pulaski Rd & 60th St,17,41,29,41.923931,-87.635825,5/7/2022 23:35
Pulaski Rd & Congress Pkwy,4,43,7,41.765286,-87.621748,5/7/2022 23:35
Pulaski Rd & Eddy St (Temp),6,60,15,41.743717,-87.634088,5/7/2022 23:35
Pulaski Rd & Lake St,7,53,15,41.761605,-87.644161,5/7/2022 23:35
Racine Ave & 13th St,7,53,15,41.759236,-87.663474,5/7/2022 23:35
Racine Ave & 15th St,2,87,15,41.752487,-87.643902,5/7/2022 23:35
Racine Ave & 18th St,8,47,15,41.729285,-87.611032,5/7/2022 23:35
Racine Ave & 35th St,5,67,15,41.752205,-87.663699,5/7/2022 23:35
Racine Ave & 61st St,6,60,15,41.728234,-87.667524,5/7/2022 23:35
Racine Ave & 65th St,5,67,15,41.737848,-87.6449,5/7/2022 23:35
Racine Ave & Belmont Ave,11,27,15,41.736815,-87.582801,5/7/2022 23:35
Racine Ave & Congress Pkwy,5,67,15,41.741487,-87.65841,5/7/2022 23:35
Racine Ave & Fullerton Ave,4,73,15,41.726799,-87.65429,5/7/2022 23:35
Racine Ave & Garfield Blvd,14,0,14,41.72185,-87.622854,5/7/2022 23:35
Racine Ave & Randolph St,2,87,15,41.727576,-87.634828,5/7/2022 23:35
Racine Ave & Washington Blvd,12,20,15,41.733669,-87.558342,5/7/2022 23:35
Racine Ave & Wrightwood Ave,9,40,15,41.737336,-87.548515,5/7/2022 23:35
Rainbow Beach,3,77,13,41.728204,-87.5497,5/7/2022 23:35
Ravenswood Ave & Berteau Ave,9,40,15,41.70725,-87.607663,5/7/2022 23:35
Ravenswood Ave & Irving Park Rd,12,20,15,41.70717,-87.618472,5/7/2022 23:35
Ravenswood Ave & Lawrence Ave,11,27,15,41.713397,-87.565842,5/7/2022 23:35
Rhodes Ave & 32nd St,8,47,15,41.69171,-87.610002,5/7/2022 23:35
Rhodes Ave & 71st St,10,33,15,41.700121,-87.61226,5/7/2022 23:35
Richmond St & 59th St,7,53,15,41.719712,-87.64302,5/7/2022 23:35
Richmond St & Diversey Ave,5,67,15,41.722291,-87.578968,5/7/2022 23:35
Richmond St & Lincoln Ave,7,53,15,41.728264,-87.597299,5/7/2022 23:35
Ridge Blvd & Howard St,12,20,15,41.718703,-87.597036,5/7/2022 23:35
Ridge Blvd & Touhy Ave,8,47,15,41.651868,-87.539671,5/7/2022 23:35
Ritchie Ct & Banks St,5,67,15,41.731395,-87.585744,5/7/2022 23:35
Rockwell St & 57th St,12,20,15,41.736559,-87.601258,5/7/2022 23:35
Rockwell St & 63rd St,10,33,15,41.702801,-87.559726,5/7/2022 23:35
Rockwell St & Archer Ave,11,27,15,41.737151,-87.57274,5/7/2022 23:35
Rockwell St & Cermak Rd,8,47,15,41.687015,-87.621052,5/7/2022 23:35
Rockwell St & Eastwood Ave,8,27,11,41.704575,-87.528232,5/7/2022 23:35
Rockwell St & Fletcher St,6,60,15,41.692263,-87.642612,5/7/2022 23:35
Roscoe & Harlem,9,40,15,41.705308,-87.629217,5/7/2022 23:35
Rush St & Cedar St,11,27,15,41.684932,-87.645289,5/7/2022 23:35
Rush St & Hubbard St,8,47,15,41.670644,-87.622586,5/7/2022 23:35
Rush St & Superior St,13,13,15,41.668696,-87.637113,5/7/2022 23:35
S Aberdeen St & W 106th St,12,20,15,41.658413,-87.610711,5/7/2022 23:35
S Michigan Ave & E 118th St,12,20,15,41.685877,-87.573824,5/7/2022 23:35
S Wentworth Ave & W 111th St,4,64,11,41.712749,-87.534814,5/7/2022 23:35
Sacramento Ave & 25th St,12,20,15,41.681001,-87.537931,5/7/2022 23:35
Sacramento Ave & Pershing Rd,10,29,14,41.666312,-87.557216,5/7/2022 23:35
Sacramento Blvd & Addison St,1,93,14,41.712164,-87.667733,5/7/2022 23:35
Sacramento Blvd & Franklin Blvd,10,29,14,41.65915,-87.550762,5/7/2022 23:35
Sacramento Blvd & Fulton Ave,2,82,11,41.699206,-87.668919,5/7/2022 23:35
Sacramento Blvd & Polk St,5,67,15,41.684595,-87.670708,5/7/2022 23:35
Sangamon St & Washington Blvd,8,47,15,41.70514,-87.642424,5/7/2022 23:35
Sawyer Ave & Irving Park Rd,3,80,15,41.704926,-87.656868,5/7/2022 23:35
Sayre & Diversey,6,60,15,41.687562,-87.655476,5/7/2022 23:35
Sedgwick St & Huron St,5,78,23,41.691211,-87.681297,5/7/2022 23:35
